Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Remote Control,Operating Modes,Condenser Coil,Indoor W x H x D,Outdoor W x H x D,Other Dimensions,Indoor Noise Level,ISEER,Other Performance Features,Other Air Flow Features,Auto Restart,Timer,Quiet Mode,Sleep Mode,Additional Features,Power Requirement,Power Consumption,Operating Current,Other Power Features,,,,,,,,,,,,,,,,,,,,
"Daikin 1.5 Ton 3 Star Split Inverter AC  - White  ((FTKL50TV16U/V)/(DTKL50TV16U/V)/(RKL50TV16U/V), Copper Condenser)",https://www.flipkart.com/daikin-1-5-ton-3-star-split-inverter-ac-white/p/itmf22s7p3zeaxgg?pid=ACNF22S7ZGDRZVZW&lid=LSTACNF22S7ZGDRZVZWSE9PGX&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNF22S7ZGDRZVZW.SEARCH&ssid=tfe0pmzr280000001585503399736,47700,1 AC Unit,Daikin,(FTKL50TV16U/V)/(DTKL50TV16U/V)/(RKL50TV16U/V),Split,1.5 Ton,3 Star BEE Rating,2019,White,5220 W,Yes,Econo Mode,Copper,885 mm x 298 mm x 229 mm,845 mm x 595 mm x 300 mm,Indoor Unit Package Dimensions: 355 x 1010 x 390 mm,"High - 45 dB, Low - 35 dB",3.65 W/W,Cooling Capacity Rated (Minimum - Maximum): 17100 (8500 - 17100) Btu/hr,Air Flow Rate: 16.2 CMM,Yes,Yes,Yes,Yes,ISEER Rank: 3 Breaker Size: 15 A,"AC 220 - 240 V, 50 Hz",1665 W,7.33 A,Annual Power Consumption: 1061 kWh,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Cooling Coverage Area,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Anti-bacteria Filter,Dust Filter,Active Carbon Filter,Deodorizing Filter,Auto Restart,Memory Feature,Self Diagnosis,Additional Features,Power Requirement,Power Consumption,Operating Current,Night Glow Buttons on Remote,Battery Type,,,,,,,
"MarQ by Flipkart 1.5 Ton 3 Star Split Inverter AC  - White  (FKAC153SIAINC, Copper Condenser)",https://www.flipkart.com/marq-flipkart-1-5-ton-3-star-split-inverter-ac-white/p/itmfbpbpdx8htzwy?pid=ACNFBPBPG6KFF684&lid=LSTACNFBPBPG6KFF684YXUMN8&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFBPBPG6KFF684.SEARCH&ssid=tfe0pmzr280000001585503399736,46999,"1 N Indoor Unit, 1 N Outdoor Unit, 1 N Remote Control, 1 N Set Installation Plates & Screws , 1 N Wiring & 1 N User Manual, 3 meter Copper pipe",MarQ by Flipkart,FKAC153SIAINC,Split,1.5 Ton,3 Star BEE Rating,2019,White,5000 W,Rotary,Yes,Yes,R-32,Turbo Mode,Rotary Compressor,Copper,957 mm x 302 mm x 213 mm,10.85 kg,800 mm x 554 mm x 333 mm,28.3 kg,Yes,110-150 sq. ft sq ft,Yes,3.73 W/W,Hydrophilic aluminum,Hydrophobic aluminium,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Golden Evaporator,"AC 230 V, 50 Hz",1650 W,7.6 A,Yes,2 AAA Batteries,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Turbo Mode,Auto Air Swing,Anti-bacteria Filter,Dust Filter,Active Carbon Filter,Deodorizing Filter,Auto Restart,Child Lock,Sleep Mode,Additional Features,Power Requirement,Power Consumption,,,,,,,,,,,,,,,,,
"Onida 1.5 Ton 5 Star Split Dual Inverter AC  - White  (IR185RHO, Copper Condenser)",https://www.flipkart.com/onida-1-5-ton-5-star-split-dual-inverter-ac-white/p/itm8a361d378541e?pid=ACNFMDRPNV5TZTXZ&lid=LSTACNFMDRPNV5TZTXZ2EAVVP&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFMDRPNV5TZTXZ.SEARCH&ssid=tfe0pmzr280000001585503399736,61990,"1 Indoor Unit, 1 Outdoor Unit, Remote, User Manual, Connecting Pipe, Wall Holder",Onida,IR185RHO,Split,1.5 Ton,5 Star BEE Rating,2020,White,5400 W,Dual Rotary,Yes,Yes,R32,Copper,101 cm x 31.5 cm x 22 cm,13 kg,85.3 cm x 60.2 cm x 34.9 cm,31 kg,LED,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,"4 Way Cooling, Golden Hydrophilic Fins","AC 220 - 240 V, 50 Hz",1390 W,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Turbo Mode,ISEER,Anti-bacteria Filter,Dust Filter,Auto Restart,Sleep Mode,Self Diagnosis,Additional Features,Power Requirement,Power Consumption,Night Glow Buttons on Remote,,,,,,,,,,,,,,,,
"Whirlpool 1.5 Ton 3 Star Split AC  - White, Grey  (1.5T Magicool Elite Pro 3S COPR, Copper Condenser)",https://www.flipkart.com/whirlpool-1-5-ton-3-star-split-ac-white-grey/p/itmffaahjyjsfrjq?pid=ACNFFAAH7PHSPMGZ&lid=LSTACNFFAAH7PHSPMGZUOXEV4&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFFAAH7PHSPMGZ.SEARCH&ssid=tfe0pmzr280000001585503399736,44400,1 Indoor UnitWireInstallation PipeUser Manual1 Outdoor UnitRemote,Whirlpool,1.5T Magicool Elite Pro 3S COPR,Split,1.5 Ton,3 Star BEE Rating,2019,"White, Grey",Magicool Elite Pro,No,5240 W,Rotary,Yes,Yes,R32,MPFI Technology,Copper,1000 mm x 295 mm x 230 mm,14 kg,780 mm x 557 mm x 241 mm,40 kg,Yes,3.72 W/W,No,Yes,Yes,Yes,Yes,6th Sense Fast Cool,"AC 230 V, 50 Hz",1410 W,No,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Turbo Mode,Auto Air Swing,Anti-bacteria Filter,Dust Filter,Auto Restart,Sleep Mode,Additional Features,Power Requirement,Power Consumption,Battery Type,,,,,,,,,,,,,,,,,
"Carrier 1.2 Ton 5 Star Split Inverter AC  - White  (14K 5 STAR ESTER NEO-i INVERTER R32 SPLIT AC, Copper Condenser)",https://www.flipkart.com/carrier-1-2-ton-5-star-split-inverter-ac-white/p/itm3e9e9665f61e0?pid=ACNFZVZZ33XBHAYU&lid=LSTACNFZVZZ33XBHAYUZP9CRM&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFZVZZ33XBHAYU.SEARCH&ssid=tfe0pmzr280000001585503399736,49990,"1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, Remote, 2 Batteries, Remote Holder, User Manual, Warranty Card",Carrier,14K 5 STAR ESTER NEO-i INVERTER R32 SPLIT AC,Split,1.2 Ton,5 Star BEE Rating,2020,White,No,3900 W,Rotary,Yes,Yes,R32,Copper,94 cm x 27.5 cm x 20.5 cm,10.3 kg,78 cm x 54 cm x 25 cm,28 kg,Low - 32 dB,Yes,Yes,Yes,No,Yes,Yes,Yes,2 Way Cooling,"AC 230 V, 50 Hz",1050 W,2,,,,,,,,,,,,,,,,,
