Name,URL,MRP,Brand,In_The_Box,Type,Model_Name,Capacity_in_Tons,Star_Rating,BEE_Rating_Year,Color,Cooling_and_Heating,Cooling_Capacity,Compressor,Dehumidification,Remote_Control,Refrigerant,Condenser_Coil,Indoor_W_x_H_x_D,Indoor_Unit_Weight,Outdoor_W_x_H_x_D,Outdoor_Unit_Weight,Indoor_Noise_Level,Indoor_Temperature_Indicator,Turbo_Mode,ISEER,Other_Performance_Features,Evaporator_in_Type,Condenser_Fin_Type,Stepped_Louvers,Auto_Air_Swing,Anti_bacteria_Filter,Dust_Filter,Active_Carbon_Filter,Deodorizing_Filter,Other_Filter_Features,Auto_Restart,Timer,Child_Lock,Quiet_Mode,Sleep_Mode,Memory_Feature,Self_Diagnosis,Emergency_Operational_Button,Power_Requirement,Power_Consumption,Night_Glow_Buttons_on_Remote,Battery_Type,Air_Circulation,Other_Remote_Control_Features,Operating_Modes,Technology_Used,Panel_Display,Cooling_Coverage_Area,Additional_Features,Operating_Current,Other_Body_and_Design_Features,Other_Convenience_Features,Other_Power_Features,LED_Backlit_Buttons,Other_Air_Flow_Features,Other_Dimensions
"Voltas 1.5 Ton 3 Star Split AC  - White  (183 DZZ, Copper Condenser)",https://www.flipkart.com/voltas-1-5-ton-3-star-split-ac-white/p/itmf8he2azn4rexx?pid=ACNF8HE2NYZANCAS&lid=LSTACNF8HE2NYZANCASPWTBR4&marketplace=FLIPKART&srno=b_3_57&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNF8HE2NYZANCAS.SEARCH&ssid=y55q3q869s0000001585503461761,48490,Voltas,1 Indoor UnitCopper Pipe1 Outdoor UnitRemote,Split,183 DZZ,1.5 Ton,3 Star BEE Rating,2018,White,Info Not Available,5120 W,High EER Rotary,Yes,Yes,R-22,Copper,1005 mm x 295 mm x 230 mm,11 kg,870 mm x 600 mm x 355 mm,42 kg,Info Not Available,Info Not Available,Yes,3.51 W/W,"Indoor Blower Motor (BLDC), Maximum Operating Ambient Temperature Range: 50 DegreeC",Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Info Not Available,Info Not Available,"Silver Ion Filter, Catechin Filter, Acaro Bacterium (Red) Filter",Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1458 W,Yes,Info Not Available,1100 CMH,Remote Control (Operation): LCD,Info Not Available,Info Not Available,LED Display,Info Not Available,Info Not Available,Info Not Available,"Copper Tubes: Inner Grooved, IDU Fin: Blue Hydrophylic Aluminium","Dual Temperature Display, Lock, Anti Fungal",Rated Cooling Current: 4.4 A,Info Not Available,Air Vent: Cross Flow,Info Not Available
"Sansui 2 Ton 3 Star Split Triple Inverter AC  - White  (SAC203SIA, Copper Condenser)",https://www.flipkart.com/sansui-2-ton-3-star-split-triple-inverter-ac-white/p/itm46a6e83b77076?pid=ACNFH58GVE8AEYYV&lid=LSTACNFH58GVE8AEYYVMN4YVC&marketplace=FLIPKART&srno=b_3_58&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFH58GVE8AEYYV.SEARCH&ssid=y55q3q869s0000001585503461761,59999,Sansui,"1 N Indoor Unit, 1 N Outdoor Unit, 1 N Remote Control, 2 N AAA Batteries, 1 N Set Installation Plates & Screws , 1 N Wiring & 1 N User Manual",Split,SAC203SIA,2 Ton,3 Star BEE Rating,2019,White,Info Not Available,6250 W,Dual Rotary,Yes,Yes,R-32,Copper,1000 mm x 230 mm x 295 mm,11 kg,810 mm x 301 mm x 594 mm,34 Kg,Info Not Available,Info Not Available,Yes,3.74 W/W,Info Not Available,Hydrophilic aluminum,Hydrophobic aluminium,Yes,Yes,No,Yes,No,No,PM 2.5 Filter,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Info Not Available,"AC 230 V, 50 Hz",2050 W,Info Not Available,2 AAA Batteries,Info Not Available,Info Not Available,"Turbo Mode, Sleep Mode",Dual Rotary Compressor with BLDC motor,Yes,150-200 sq.ft sq ft,Blue Fin Evaporator,8.91 A,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Lloyd 1.5 Ton 3 Star Split Inverter AC  - White  (LS18I36FI, Copper Condenser)",https://www.flipkart.com/lloyd-1-5-ton-3-star-split-inverter-ac-white/p/itmf3pt2upf2ff2g?pid=ACNF3PT2TEKC3HNH&lid=LSTACNF3PT2TEKC3HNHCMCRXW&marketplace=FLIPKART&srno=b_3_59&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNF3PT2TEKC3HNH.SEARCH&ssid=y55q3q869s0000001585503461761,58990,Lloyd,1 Indoor UnitManualsWarranty CardInter Connecting Pipe1 Outdoor UnitRemote,Split,LS18I36FI,1.5 Ton,3 Star BEE Rating,2018,White,No,5050 W,Rotary Compressor,Yes,Yes,R-32,Copper,97 cm x 22.4 cm x 30 cm,13.5 kg,89.9 cm x 59.6 cm x 37.8 kg,40 kg,"High - 42 dB, Low - 42 dB",Info Not Available,Info Not Available,3.59 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Info Not Available,Info Not Available,Clean Air Filter,Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1635 W,Info Not Available,Info Not Available,780 CMH,Info Not Available,Info Not Available,Inverter,Hidden LED Display,Info Not Available,Indoor Noise: 42 dB,Info Not Available,100% Inner Grooved Copper,Eco Friendly Refrigerants,Input Current: 8 A,Info Not Available,Info Not Available,Info Not Available
"LG 1.5 Ton 4 Star Split Dual Inverter AC  - White  (LS-Q18HNYA, Copper Condenser)",https://www.flipkart.com/lg-1-5-ton-4-star-split-dual-inverter-ac-white/p/itmf448fd65dc255?pid=ACNFPBNCTQGPWSJZ&lid=LSTACNFPBNCTQGPWSJZ1RFMNN&marketplace=FLIPKART&srno=b_3_60&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFPBNCTQGPWSJZ.SEARCH&ssid=y55q3q869s0000001585503461761,59990,LG,"1 Indoor Unit, 1 Outdoor Unit, Remote Control",Split,LS-Q18HNYA,1.5 Ton,4 Star BEE Rating,2020,White,Info Not Available,5000 W,Dual Rotary,Yes,Yes,R-32,Copper,998 mm x 320 mm x 210 mm,11.5 kg,770 mm x 545 mm x 288 mm,28 kg,Info Not Available,Info Not Available,Info Not Available,4.2 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,"AC 220 - 240 V, 50 Hz",835.5 kWh,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Magic Display,Info Not Available,"Ocean Black Fin, Ocean Black Protection, Himalaya Cool, Monsoon Comfort, Low Gas Detection, Smart Diagnosis System, Comfort Air, Ez Clean Filter, Stabilizer Free Operation, Cools at 52 DegreeC, Auto Clean, Sleep Mode",Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"LG 1 Ton 3 Star Split Dual Inverter AC  - White  (LS-Q12CNXD, Copper Condenser)",https://www.flipkart.com/lg-1-ton-3-star-split-dual-inverter-ac-white/p/itm6f35fba035d85?pid=ACNFNEZMKVFEYBRH&lid=LSTACNFNEZMKVFEYBRHJQMEQ9&marketplace=FLIPKART&srno=b_3_61&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFNEZMKVFEYBRH.SEARCH&ssid=y55q3q869s0000001585503461761,54990,LG,"1 Indoor Unit, 1 Outdoor Unit, Remote Control, 2 AAA Batteries, User Manual, Installation Plates, Wiring and Screws",Split,LS-Q12CNXD,1 Ton,3 Star BEE Rating,2020,White,Info Not Available,3283 W,Dual Rotary,Yes,Yes,Info Not Available,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.5 cm x 49.5 cm x 23 cm,23.3 kg,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,AC 230 V,680.58 kWh,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183VCZT/183VCZT 2, Copper Condenser)",https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itmf2425vhqqsrhn?pid=ACNF2425FDRWQRHW&lid=LSTACNF2425FDRWQRHWARL3OI&marketplace=FLIPKART&srno=b_3_62&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNF2425FDRWQRHW.SEARCH&ssid=y55q3q869s0000001585503461761,55490,Voltas,1 Indoor Unit 1 Outdoor Unit,Split,183VCZT/183VCZT 2,1.5 Ton,3 Star BEE Rating,2018,White,Info Not Available,5200 W,High EER Rotary - BLDC,Info Not Available,Yes,R410A,Copper,957 mm x 302 mm x 213 mm,10.6 kg,770 mm x 555 mm x 300 mm,27.9 Kg,Info Not Available,Info Not Available,Yes,3.7 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Catalyst Filter,Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1760 W,Info Not Available,Info Not Available,Info Not Available,Operation: LCD Remote,Info Not Available,Info Not Available,LED,Info Not Available,IDU Fin: Hydrophylic Aluminium (Blue) Inner Grooved Copper Tubes,Info Not Available,Info Not Available,Info Not Available,Full Load Capacity: 5200 W,Info Not Available,Air Flow Volume - Indoor: 830 CMH,Info Not Available
"Daikin 1.8 Ton 5 Star Split Inverter AC  - White  (FTKG60TV16U/RKG60TV16U, Copper Condenser)",https://www.flipkart.com/daikin-1-8-ton-5-star-split-inverter-ac-white/p/itm71f5ec12d855d?pid=ACNF22S7EMHDEAHG&lid=LSTACNF22S7EMHDEAHGDWO5T1&marketplace=FLIPKART&srno=b_3_63&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNF22S7EMHDEAHG.SEARCH&ssid=y55q3q869s0000001585503461761,71700,Daikin,1 Indoor Unit1 Outdoor UnitInter Connecting PipesRemote3 ManualsWarranty Card,Split,FTKG60TV16U/RKG60TV16U,1.8 Ton,5 Star BEE Rating,2019,White,No,6000 W,Neo Swing,No,Yes,R-32,Copper,88.5 cm x 29.8 cm x 22.9 cm,16 kg,84.5 cm x 59.5 cm x 30 cm,47 kg,Info Not Available,Info Not Available,Yes,4.7 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Yes,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1665 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Daikin 1 Ton 3 Star Split Inverter AC  - White  (ATKL35TV16X/RKL35TV16X/DTKL35TV16X, Copper Condenser)",https://www.flipkart.com/daikin-1-ton-3-star-split-inverter-ac-white/p/itm03866026a056d?pid=ACNFBGTT2ESRNF2A&lid=LSTACNFBGTT2ESRNF2ASIBF79&marketplace=FLIPKART&srno=b_3_64&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFBGTT2ESRNF2A.SEARCH&ssid=y55q3q869s0000001585503461761,40200,Daikin,"1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, Remote, 3 Manuals, Warranty Card",Split,ATKL35TV16X/RKL35TV16X/DTKL35TV16X,1 Ton,3 Star BEE Rating,2018,White,Info Not Available,3500 W,Neo Swing Compressor,No,Yes,R32,Copper,80 cm x 29.8 cm x 22.9 cm,12 kg,76.5 cm x 55 cm x 28.5 cm,33 kg,High - 26 dB,No,Yes,3.7 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1110 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Inverter,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"LG 1.5 Ton 5 Star Split Dual Inverter AC  - Floral White  (KS-Q18FNZD, Copper Condenser)",https://www.flipkart.com/lg-1-5-ton-5-star-split-dual-inverter-ac-floral-white/p/itmfchhjskvgkag4?pid=ACNFCHHJU6VRHZ5H&lid=LSTACNFCHHJU6VRHZ5HTPSNEV&marketplace=FLIPKART&srno=b_3_65&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFCHHJU6VRHZ5H.SEARCH&ssid=y55q3q869s0000001585503461761,48140,LG,"1 Indoor Unit, 1 Outdoor Unit, Installation Plate, Installation Tape, Remote, User Manuals, Warranty Card, 2 Batteries, Inter Connecting Wire",Split,KS-Q18FNZD,1.5 Ton,5 Star BEE Rating,2019,Floral White,No,5100 W,Dual Rotary,Yes,Yes,R32,Copper,99.8 cm x 33 cm x 21 cm,11.5 kg,77 cm x 54.5 cm x 28.8 cm,32.5 kg,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Yes,Yes,Info Not Available,Yes,Yes,Yes,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1440 W,Yes,2 AAA Batteries,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Hitachi 1 Ton 3 Star Split Inverter AC  - White  (RSF/ESF/CSF-311HCEA, Copper Condenser)",https://www.flipkart.com/hitachi-1-ton-3-star-split-inverter-ac-white/p/itmfdqsf2ps5fzjh?pid=ACNFDQSFHQHZUEAB&lid=LSTACNFDQSFHQHZUEABDFNM7Q&marketplace=FLIPKART&srno=b_3_66&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFDQSFHQHZUEAB.SEARCH&ssid=y55q3q869s0000001585503461761,42290,Hitachi,1 Indoor UnitInstallation KitManual1 Outdoor UnitRemote,Split,RSF/ESF/CSF-311HCEA,1 Ton,3 Star BEE Rating,2019,White,Info Not Available,3516 W,Rotary Compressor,Yes,Yes,R410A,Copper,798 mm x 295 mm x 239 mm,10 Kg,750 mm x 548 mm x 288 mm,32.1 Kg,Info Not Available,Info Not Available,Info Not Available,3.8 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,"AC 230 V, 50 Hz",1110 W,Info Not Available,Info Not Available,405 CMH,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Panasonic 2 Ton 5 Star Split Twin Cool Inverter AC - White  (CS/CU-NU24WKYW, Copper Condenser)",https://www.flipkart.com/panasonic-2-ton-5-star-split-twin-cool-inverter-ac-white/p/itme131ba1576ce1?pid=ACNFZYTHUZC2XUDY&lid=LSTACNFZYTHUZC2XUDYMLD3F3&marketplace=FLIPKART&srno=b_3_67&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFZYTHUZC2XUDY.SEARCH&ssid=y55q3q869s0000001585503461761,69000,Panasonic,1 Indoor Unit1 Outdoor UnitRemote ControllerPiping KitUser ManualWarranty Card,Split,CS/CU-NU24WKYW,2 Ton,5 Star BEE Rating,2020,White,No,6100 W,Twin Rotary,Yes,Yes,R-32,Copper,107 cm x 29 cm x 23.5 cm,11.5 kg,82.4 cm x 61.9 cm x 29.9 cm,57 kg,Info Not Available,Info Not Available,Info Not Available,4.66 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,AC 100 - 240 V,1013.01 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,"Humidity Free Cooling, Dry Mode Dehumidifier, Health Friendly Technology, PM 2.5 Filter, Faster, Quicker Cooling, Anti Corrosion Blue Fin Technology, Shield-Blu 2x Increased Heat Exchanger Life Span, Energy Saving Performance, Twin Cool Inverter",Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"MarQ by Flipkart 2 Ton 3 Star Split Inverter AC  - White  (FKAC203SIAA, Copper Condenser)",https://www.flipkart.com/marq-flipkart-2-ton-3-star-split-inverter-ac-white/p/itmfdfjxttxgnfsn?pid=ACNFDFJXFVAG37AF&lid=LSTACNFDFJXFVAG37AFRJKIFH&marketplace=FLIPKART&srno=b_3_68&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFDFJXFVAG37AF.SEARCH&ssid=y55q3q869s0000001585503461761,59999,MarQ by Flipkart,1 Indoor Unit1 Outdoor UnitRemote Control2 AAA BatteriesSet Installation Plates and ScrewsWiring and User Manual,Split,FKAC203SIAA,2 Ton,3 Star BEE Rating,2019,White,Info Not Available,6250 W,Dual Rotary,Yes,Yes,R-32,Copper,1000 mm x 230 mm x 295 mm,11 kg,810 mm x 301 mm x 594 mm,34 Kg,Info Not Available,Info Not Available,Yes,3.74 W/W,Info Not Available,Hydrophilic Aluminum,Hydrophobic Aluminum,Yes,Yes,No,Yes,No,No,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Info Not Available,"AC 230 V, 50 Hz",2050 W,Info Not Available,2 AAA Batteries,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Hidden Display,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Blue Star 1.5 Ton 3 Star Split Inverter AC  - White  (IC318XBTU, Copper Condenser)",https://www.flipkart.com/blue-star-1-5-ton-3-split-inverter-ac-white/p/itmf32bbee4f805d?pid=ACNFHGPGPHHETNGE&lid=LSTACNFHGPGPHHETNGE0C3EFD&marketplace=FLIPKART&srno=b_3_69&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFHGPGPHHETNGE.SEARCH&ssid=y55q3q869s0000001585503461761,54500,Blue Star,1 Indoor Unit1 Out Door UnitInter Connecting PipeRemoteManualWarranty Card,Split,IC318XBTU,1.5 Ton,3 Star BEE Rating,2019,White,No,5400 W,Rotary,Yes,Yes,R32,Copper,970 mm x 235 mm x 315 mm,13 kg,800 mm x 318 mm x 545 mm,32 kg,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Yes,Yes,Yes,Info Not Available,Yes,Yes,Info Not Available,No,Yes,No,No,No,AC 230 V,1850 W,No,2,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,No,Info Not Available,Info Not Available
"Voltas 2 Ton 3 Star Split Inverter AC  - White  (243V DZV, Copper Condenser)",https://www.flipkart.com/voltas-2-ton-3-star-split-inverter-ac-white/p/itmfgy7q4xhvzpgd?pid=ACNFGY7QJSV8KHWD&lid=LSTACNFGY7QJSV8KHWDNXVLST&marketplace=FLIPKART&srno=b_3_70&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFGY7QJSV8KHWD.SEARCH&ssid=y55q3q869s0000001585503461761,72990,Voltas,1 Indoor Unit1 Outdoor UnitRemoteInter Connecting PipeOperating Manual,Split,243V DZV,2 Ton,3 Star BEE Rating,2019,White,Info Not Available,5120 W,Rotary,Yes,Yes,R410A,Copper,96.5 cm x 31.9 cm x 21.5 cm,11.4 kg,87 cm x 54 cm x 30 cm,35 kg,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,"AC 230 V, 50 Hz",2000 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Daikin 1.5 Ton 5 Star Split Inverter AC  - White  (JTKJ50, Copper Condenser)",https://www.flipkart.com/daikin-1-5-ton-5-star-split-inverter-ac-white/p/itmf4czyvezdadne?pid=ACNF4CZYSPGZ44BT&lid=LSTACNF4CZYSPGZ44BT0EOBCG&marketplace=FLIPKART&srno=b_3_71&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNF4CZYSPGZ44BT.SEARCH&ssid=y55q3q869s0000001585503461761,63000,Daikin,1 Indoor UnitManualWarranty CardInter Connecting Pipe1 Outdoor UnitRemote,Split,JTKJ50,1.5 Ton,5 Star BEE Rating,2018,White,Info Not Available,5000 W,Rotary,Yes,Yes,Info Not Available,Copper,885 mm x 298 mm x 229 mm,11 kg,845 mm x 595 mm x 300 mm,39 kg,"High - 42 dB, Low - 28 dB",Info Not Available,Info Not Available,Info Not Available,Intelligent Eye,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,"AC 230 V, 50 Hz",1315 W,Info Not Available,Info Not Available,14.5 CFM,Info Not Available,Info Not Available,Streamer Discharge Technology,Info Not Available,Info Not Available,Operation Limit Cooling: 10 - 50 DegreeC,5.8 A,Info Not Available,Info Not Available,"Annual Power Consumption: 744 kWh, Power Consumption Rated Half: 418 W, Voltage Range: 130 - 265 V, Cooling Capacity Rated: Half - 2500 W/8550 Btu/hr, Full - 17100 Btu/hr",Info Not Available,Coanda Airflow,Info Not Available
"Carrier 2 Ton 3 Star Split Inverter AC  - White  (24K 3 STAR ESTER NEO INVERTER R32 (I012) / 24K 3 STAR INVERTER R32 ODU (I012), Copper Condenser)",https://www.flipkart.com/carrier-2-ton-3-star-split-inverter-ac-white/p/itmfcschx5adrztr?pid=ACNFCSCH8Z2Q2UJH&lid=LSTACNFCSCH8Z2Q2UJH80TNAS&marketplace=FLIPKART&srno=b_3_72&otracker=browse&fm=organic&iid=b5111d0d-666e-443c-b6a0-179a676d95e4.ACNFCSCH8Z2Q2UJH.SEARCH&ssid=y55q3q869s0000001585503461761,66600,Carrier,1 Indoor UnitManualKit1 Outdoor Unit2 BatteriesRemote,Split,24K 3 STAR ESTER NEO INVERTER R32 (I012) / 24K 3 STAR INVERTER R32 ODU (I012),2 Ton,3 Star BEE Rating,2019,White,No,6200 W,Rotary,Yes,Yes,R32,Copper,1045 mm x 315 mm x 235 mm,14.2 kg,845 mm x 700 mm x 320 mm,36 kg,"High - 46 dB, Low - 39 dB",No,Yes,Info Not Available,Info Not Available,Hydrophilic Aluminium Fin,Aluminium Slit Fin,Yes,Yes,No,Yes,Info Not Available,Info Not Available,PM 2.5 Filter and Air Cleaner,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1985 W,Yes,2 AAA Batteries,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Hidden Display,Info Not Available,Info Not Available,9.6 A,Info Not Available,"High Ambient, Stabilizer Free Operation (Even at 52 DegreeC), Refrigerant Cooling PCB, Refrigerant Leakage Detector",Half Load Cooling Capacity: 3100 W,Yes,Info Not Available,Info Not Available
"Toshiba 1 Ton 3 Star Split AC  - White  (RAS-13J2KG-IN / RAS-13J2AG-IN, Copper Condenser)",https://www.flipkart.com/toshiba-1-ton-3-star-split-ac-white/p/itm927fc20fb3b3a?pid=ACNFNXN6VEKTHFXG&lid=LSTACNFNXN6VEKTHFXGUXIFC9&marketplace=FLIPKART&srno=b_4_73&otracker=browse&fm=organic&iid=9720a23d-fb3a-402b-aab0-f09190eefad4.ACNFNXN6VEKTHFXG.SEARCH&ssid=ytmywgtc0w0000001585503478267,Not Available,Toshiba,1 Indoor Unit1 Outdoor UnitRemoteRemote Control Holder2 ManualsInstallation PlateScrews,Split,RAS-13J2KG-IN / RAS-13J2AG-IN,1 Ton,3 Star BEE Rating,2019,White,No,3542 W,Rotary,Yes,Yes,R32,Copper,80 cm x 29.5 cm x 23 cm,9 kg,78 cm x 55.7 cm x 24.1 cm,28.5 kg,"High - 41 dB, Low - 37 dB",No,Yes,3.75 W/W,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,No,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,"AC 230 - 240 V, 50 Hz",1200 W,Info Not Available,2 AAA Batteries,Info Not Available,Info Not Available,Info Not Available,Info Not Available,No,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Daikin 1.5 Ton 2 Star Split AC  - White  (FTQ50TV16U1, Copper Condenser)",https://www.flipkart.com/daikin-1-5-ton-2-star-split-ac-white/p/itmf49hz7uvm3sjf?pid=ACNF49HZRVYQE4ER&lid=LSTACNF49HZRVYQE4ERC5OWGB&marketplace=FLIPKART&srno=b_4_74&otracker=browse&fm=organic&iid=9720a23d-fb3a-402b-aab0-f09190eefad4.ACNF49HZRVYQE4ER.SEARCH&ssid=ytmywgtc0w0000001585503478267,40200,Daikin,1 Indoor UnitManualWarranty CardInter Connecting Pipe1 Outdoor UnitRemote,Split,FTQ50TV16U1,1.5 Ton,2 Star BEE Rating,2018,White,Info Not Available,5200 W,Rotary,Yes,Yes,Info Not Available,Copper,885 mm x 298 mm x 229 mm,11 kg,845 mm x 595 mm x 300 mm,40 kg,"High - 45 dB, Low - 35 dB",Info Not Available,Info Not Available,3.45 W/W,Power Chill Operation,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1507 W,Info Not Available,Info Not Available,16.2 CFM,Info Not Available,Econo Mode,Info Not Available,Info Not Available,Info Not Available,Operation Limit: 19.4 - 50 DegreeCIndoor Noise Level: Medium - 41 dB,6.9 A,Info Not Available,Info Not Available,Rated Cooling Capacity: 17750 Btu/hr,Info Not Available,Coanda Airflow,Info Not Available
