Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Lens Mount,Dust Reduction,Other Lens Features,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon DSLR D3500 DSLR Camera Body with Single Lens: AF-P DX NIKKOR 18-55 mm f/3.5-5.6G VR Kit with free Camera bag DSLR Camera AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR  (Black),https://www.flipkart.com/nikon-dslr-d3500-camera-body-single-lens-af-p-dx-nikkor-18-55-mm-f-3-5-5-6g-vr-kit-free-bag-18-55mm/p/itmfdutjtngwdemw?pid=DLLFDTAFXZJ2HEWZ&lid=LSTDLLFDTAFXZJ2HEWZJAHPN7&marketplace=FLIPKART&srno=s_3_62&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLFDTAFXZJ2HEWZ.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,39950,Nikon,D3500 DSLR Camera Body with Single Lens: AF-P DX NIKKOR 18-55 mm f/3.5-5.6G VR Kit with free Camera bag,DSLR,D3500 Dslr Camera,AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR,Black,DSLR,Black,24.2 MP,Yes,Yes,CMOS,23.5 x 15.6,Nikon F Mount (with AF Contacts),Yes,"Reflex Mirror: Quick Return, Lens Aperture: Instant Return, Electronically Controlled, Lens Servo: Single-servo AF (AF-S), Continuous-servo AF (AF-C), Auto AF-S/AF-C Selection (AF-A), Predictive Focus Tracking Activated Automatically According to Subject Status Manual Focus (MF): Electronic Rangefinder Can be used, Mode: Auto, Auto with Red-eye Reduction, Auto Slow Sync, Auto Slow Sync with Red-eye Reduction, Fill-flash, Red-eye Reduction, Slow Sync, Slow Sync with Red-eye Reduction, Rear-curtain with Slow Sync, Rear-curtain Sync, Off, Lens Servo: Autofocus (AF) - Single-servo AF (AF-S), Full-time-servo AF (AF-F) Manual Focus (MF), Frame size (pixels) and Frame Rate: 1920 x 1080, 60 p (Progressive), 50 p, 30 p, 25 p, 24 p 1280 x 720, 60 p, 50 p Actual Frame Rates for 60 p, 50 p, 30 p, 25 p, and 24 p are 59.94, 50, 29.97, 25, and 23.976 fps Respectively, Options Support Both High and Normal Image Quality",1/4000 - 30 sec,Yes,"NEF (RAW): 12 bit, Compressed JPEG: JPEG-baseline Compliant with Fine (Approx 1:4), Normal (Approx 1:8), or Basic (Approx 1:16) Compression NEF (RAW) + JPEG: Single Photograph Recorded in both NEF (RAW) and JPEG Formats",1920 x 1080,1080p recording at 60p,TFT,3 inch,No,SD Card,Li-ion,12 cm,9 cm,7 cm,415 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Temperature,Sensor Type,Image Sensor Size,ISO Rating,Focal Length,Maximum Aperture,Optical Zoom,Lens Mount,Dust Reduction,Manual Focus,View Finder,View Finder Type,Viewfinder Coverage,Viewfinder Magnification,Viewpoint Dioptric Adjustment,Viewfinder Eye Point,Focus Mode,Auto Focus,Focus Points,White Balancing,Exposure Mode,Manual Exposure,Shutter Speed,Self-timer,Built-in Flash,External Flash,Flash Modes,Flash Compensation,Image Format,Aspect Ratio,Video Resolution,Video Quality,Video Format,Display Type,Display Size,Display Resolution,Touch Screen,Compatible Card,Power Requirement,Batteries Included,Battery Type,Width,Height,Depth,Weight,Other Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm X-E3 Silver with XF 18-55 mm Lens Mirrorless Camera Kit  (Silver),https://www.flipkart.com/fujifilm-x-e3-silver-xf-18-55-mm-lens-mirrorless-camera-kit/p/itmfyyzgmtjpay8k?pid=DLLFYHA7A86QMYP2&lid=LSTDLLFYHA7A86QMYP2ZJN9BS&marketplace=FLIPKART&srno=s_3_63&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLFYHA7A86QMYP2.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,76999,Fujifilm,X-E3 Silver with XF 18-55 mm Lens,X-E3,Kit,Silver Argent,Mirrorless,Silver,24.3 MP,Yes,Yes,Operating 32 to 104°F (0 to 40°C) Humidity: 10 - 80%,CMOS,23.5 x 15.6 mm,"Auto, 200-12800 (Extended Mode: Auto, 100-51200)",18 - 55mm Comparable 35mm Focal Length: 27 - 84 mm,f/2.8 - 4,3x,Fujifilm X Mount,Yes,Yes,Yes,Electronic,100%,Approx. 0.62x,-4 to +2 m,17.5 mm,"Continuous-Servo AF (C), Manual Focus (M), Single-servo AF (S)",Yes,Hybrid: 91,"Automatic Scene Recognition, Color Temperature, Custom, Daylight, Fluorescent (Cool White), Fluorescent (Daylight), Fluorescent (Warm White), Incandescent, Shade, Underwater",Manual,Yes,1/4000 sec,Yes,No,Yes,Commander First-Curtain Sync Manual Off Second-Curtain Sync TTL Auto,Commander First-Curtain Sync Manual Off Second-Curtain Sync TTL Auto,"Still Images: JPEG, RAW Movies: MOV, MPEG-4 AVC/H.264 Audio: Linear PCM (Stereo)",16:09,3840 x 2160,1080p,"3840 x 2160p at 23.98, 24, 25, 29.97 fps (100 Mbps MOV via H.264) 1920 x 1080p at 23.98, 24, 25, 29.97, 50, 59.94 fps (36 Mbps MOV via H.264) 1280 x 720p at 23.98, 24, 25, 29.97, 50, 59.94 fps (18 Mbps MOV via H.264)",LCD,3 inch,1040000 dots,Yes,SD Card,"1 x NP-W126S Replaceable Lithium-Ion Battery, 8.4 VDC, 1260 mAh",Yes,Lithium Ion,121.3 mm,73.9 mm,42.7 mm,337 g,"4.8 x 2.9 x 1.7"" / 121.3 x 73.9 x 42.7 mm",,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Batteries Included,Battery Type,Number of Batteries,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-GH4 Mirrorless Camera Body with 12-60mm Lens  (Black),https://www.flipkart.com/panasonic-lumix-dmc-gh4-mirrorless-camera-body-12-60mm-lens/p/itm756102c5281f5?pid=DLLFZQKWNZSR8MWG&lid=LSTDLLFZQKWNZSR8MWGFVHRAK&marketplace=FLIPKART&srno=s_3_64&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLFZQKWNZSR8MWG.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,89990,Panasonic,Lumix DMC-GH4,Lumix DMC-GH4,Body with 12-60mm Lens,Black,Mirrorless,Black,16 MP,Yes,Yes,MOS,17.3 x 13 mm,Micro Four Third Mount,Yes,1/8000 - 60 sec,Yes,RAW+JPEG,3840 x 2160,4K at 30fps,OLED,3 inch,Yes,SDXC,Yes,Li-ion Battery,1,132.9 mm,93.4 mm,83.9 mm,560 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Focal Length,Digital Zoom,Lens Mount,Dust Reduction,Compatible Lens,View Finder,View Finder Type,Focus Mode,Focus Range,Metering Modes,Focus Points,Exposure Mode,Shutter Speed,Self-timer,Continuous Shots,Image Format,Aspect Ratio,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Power Requirement,Batteries Included,Battery Type,Other Features,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 800D DSLR Camera Body with Single Lens: EF S18-55 IS STM (16 GB SD Card + Camera Bag)  (Black),https://www.flipkart.com/canon-eos-800d-dslr-camera-body-single-lens-ef-s18-55-stm-16-gb-sd-card-bag/p/itmes6eergauhueg?pid=DLLES6EE6RPNTZUD&lid=LSTDLLES6EE6RPNTZUD4YSSJA&marketplace=FLIPKART&srno=s_3_65&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLES6EE6RPNTZUD.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,Not Available,Canon,EOS 800D,EOS 800D,Body with Single Lens: EF S18-55 IS STM (16 GB SD Card + Camera Bag),Black,DSLR,Black,24.2 MP,"Creative Zone Modes: Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Basic Zone modes: Scene Intelligent Auto, Flash Off, Creative Auto, Portrait, Landscape, Close-up, Sports, Special Scene Modes (Group Photo, Kids, Food, Candlelight, Night Portrait, Handheld Night Scene, HDR Backlight Control), Creative filters (Grainy B/W, Soft focus, Fish-eye effect, Water Painting Effect, Toy Camera Effect, Miniature Effect, HDR Art Standard, HDR Art Vivid, HDR Art Bold, HDR Art Embossed)",Yes,Yes,CMOS,22.3 x 14.9,"100-25,600 (Max to 51,200)",1.6x,Approx. 3x - 10x,Canon EF Mount,Yes,"Canon EF lenses (including EF-S lenses), Excluding EF-M Lenses (35mm-equivalent Angle of View is that of a Lens with Approx 1.6x the Focal Length Indicated.)",Yes,Eye Level Pentamirror Single Lens Reflex Viewfinder,"Fixed, Precision Matte","EV 1 - 20 (at Room Temperature, ISO 100), Focusing Brightness Range (EV -3 - 18 (with the Center AF Point Supporting f/2.8, One-shot AF, at Room Temperature, ISO 100))","63-zone TTL Open-aperture Metering using 7560-pixel RGB Plus IR Metering Sensor, Evaluative Metering (linked to all AF points), Partial Metering (approx. 6.0% of viewfinder at center), Spot Metering (approx. 3.5% of Viewfinder at Center), Center-weighted Average Metering",45-Point+Dual Pixel CMOS AF,Automatic,1/4000 sec,Yes,6fps shooting,"JPEG, RAW","3:2, 1:1, 16:9, 4:3",6000 x 4000,1080p at 60p + Time-Lapse,TFT,3 inch,Yes,SD Card,"Rated Voltage: 7.2 V DC, Battery Capacity: 1040 mAh",Yes,Rechargeable Lithium-ion,Weight: 532 g (Including Battery and Card),131 mm,99.9 mm,76.2 mm,485 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Face Detection,Temperature,Ports,Sensor Type,Image Sensor Size,Other Sensor Features,Lens Mount,Dust Reduction,Lens Color Filter,Manual Focus,Other Lens Features,Viewpoint Dioptric Adjustment,Other Viewfinder Features,Focus Mode,Metering Modes,Auto Focus,White Balancing,Other Focus Features,Exposure Compensation,Exposure Bracketing,Shutter Speed,Self-timer,Shutter Type,External Flash,Flash Modes,Flash Compensation,Other Flash Features,Image Format,Video Resolution,Video Format,Display Size,Other Display Features,Compatible Card,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentax K 5 IIs DSLR Camera (Body only)  (Black),https://www.flipkart.com/pentax-k-5-iis-dslr-camera-body-only/p/itmdtzzhhrqfydsd?pid=CAMDTZYVWUGNCYN7&lid=LSTCAMDTZYVWUGNCYN7OAQ1XJ&marketplace=FLIPKART&srno=s_3_66&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.CAMDTZYVWUGNCYN7.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,82995,Pentax,K 5 IIs,(Body only),Black,DSLR,Black,16.3 MP,"Capture Modes (Mode Selection: Green, Hyper Program (P), Sensitivity Priority (Sv), Shutter Priority (Tv), Aperture Priority (Av), Shutter and Aperture Priority (TAv), Metered Manual, Bulb, X-speed, USER (5 Presets), Movie Custom Image Modes: Bright, Natural, Portrait, Landscape, Vibrant, Muted, Monochrome, Reversal Film, Bleach Bypass, All Include Gamut Radar and Fine Adjustment of Saturation, Hue, High / Low Key, Contrast and Sharpness (Regular and Fine Adjustment Scales), Monochrome Mode Includes Adjustments for Filter Effects (Green, Yellow, Orange, Red, Magenta, Blue, Cyan, Infrared), Toning (Sepia, Warm / Cool), High / Low Key, Contrast and Sharpness (Regular, Fine and Extra Sharp Adjustment Scales), Green Simplified Mode) PASMB: P, A, S, M, B (Extended Modes Sv, TAv), Digital Filters (Capture): Toy Camera, Retro, High Contrast, Extract Color, Soft, Starburst, Fisheye, Custom, Data Record: Folder Name (Standard, Date), File Name (Standard, Customizable), Embed Copyright",Yes,No,Yes,"-10° C - 40° C (Operation), -20° C - 60° C (Storage)",HDMI,CMOS,23.7 x 15.7 mm,"CMOS with Primary Color Filter and Integrated Shake / Dust Reduction Sensor Movement System, Color Depth: 8-bits / Channel JPG, 14-bits / Channel RAW, DR II (Ultrasonic Vibration to Filter) with Dust Alert Function",Pentax KAF 2 Bayonet Stainless Steel Mount,Yes,Primary (RGB) Color Filter,Yes,"Usable Lenses: Pentax KAF 3, KAF 2, KAF and KA (K Mount, 35 mm Screwmount, 645 / 67 Med Format Lenses Useable with Adapter and Restrictions, SDM Function, Power Zoom Function",-2.5 to +1.5 m,"Standard Focusing Screen: Natural Bright Matte III (Interchangeable), Depth of Field Preview: Optical (Diaphragm Stop-down), Digital Live View","AF Single (with Focus Lock, Focus / Shutter Priority Selectable, AF Continuous with Focus / FPS Priority Selectable) Manual","Center Weighted, Spot",Yes,"Auto Preset Modes: Auto, Daylight, Shade, Cloudy, Fluorescent (D, N, W, L), Tungsten, Flash, CTE, Manual Mode (S): 3 Manual and 3 Kelvin Temperature Presets Available, Copy WB Settings from a Captured Image Available","Focus Point Adjustment: Auto 11 Point, Auto 5 Point, User-selectable, Center, AF Assist: via Dedicated LED AF Assist Lamp, Safox X TTL Phase-difference 11 Point (9 Cross) Wide Autofocus System with Light Wavelength Sensor, Autofocus: Contrast + Face Detection, Phase Difference","5 EV (1/3, 1/2 Steps Selectable)","2 / 3 / 5 Frames, Upto -2 EV to +2 EV in 1/3, 1/2 Steps",1/6000 sec,Yes,"Electronically-controlled, Vertical-run, Focal-plane Shutter",Yes,"On, Redeye, Slow Sync, Slow Sync + Redeye, Trailing Curtain Sync, Wireless",Flash Exposure Compensation: -2 to 1 EV (1/2 Steps),"External Flash: Hotshoe (P-TTL), High-speed Sync and Wireless with Pentax Dedicated Flash, X-sync Socket at 1/180 sec","RAW, PEF, DNG, JPG (EXIF 2.21), DCF 2 Compliant, DPOF, PIM III",1920 x 1080,AVI,3,"Playback Modes (Mode Selection: One Shot (No Data, Basic Data, Full Data, Color Channel Histogram, Bright / Dark Indication, Copyright Info), Multi Image Display (4, 9, 16, 36, 81 Thumbnails), Calendar Filmstrip, Folder, Magnification, Select and Delete, Movie Playback (No Data, Basic Data, Full Data), Save RAW Data from JPG, Mode Pallet: Image Rotation, Digital Filter, Resize, Cropping, Slideshow, Save as Manual WB, RAW Development, Index Print, Protect, DPOF, Movie Edit, Extract JPG from Movie), Magnification: Upto 32x, Scrollable, Quick Magnification, Digital Filters (Playback): Toy Camera, Monochrome (Filter, Toning), Retro, Color, High Contrast, Soft, Extract Color, Starburst, Sketch, Watercolor, Fisheye, Pastel, Slim, Miniature, HDR, Posterization, Base Parameter Adj, Custom",SD Card,Lithium Battery,96.52,132.08,73.66,739.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Face Detection,Temperature,Accessory Shoe,Sensor Type,Image Sensor Size,ISO Rating,Other Sensor Features,Focal Length,Lens Type,Lens Mount,Dust Reduction,Compatible Lens,Manual Focus,Other Lens Features,View Finder,View Finder Type,Viewfinder Magnification,Viewpoint Dioptric Adjustment,Viewfinder Eye Point,Other Viewfinder Features,Focus Range,Auto Focus,Focus Points,White Balancing,Scene Modes,Other Focus Features,Exposure Mode,Exposure Compensation,Exposure Bracketing,Other Exposure Features,Shutter Speed,Release Modes,Self-timer,Continuous Shots,Shutter Type,Other Shutter Features,Built-in Flash,External Flash,Flash Modes,Flash Compensation,Other Flash Features,Image Size,Image Format,Red Eye Reduction,Video Resolution,Video Quality,Video Format,Other Video Features,Microphone,Other Audio Features,Display Type,Display Size,Display Resolution,Touch Screen,Other Display Features,Compatible Card,Batteries Included,Battery Type,Number of Batteries,Other Features,Width,Height,Depth,Weight,,,,,,,,
Nikon D5300 DSLR Camera Body with Dual Lens: AF-P DX NIKKOR 18 - 55 mm f/3.5 - 5.6G VR + AF-P DX NIKKOR 70 - 300 mm f/4.5 - 6.3G ED VR (16 GB SD Card + Camera Bag)  (Black),https://www.flipkart.com/nikon-d5300-dslr-camera-body-dual-lens-af-p-dx-nikkor-18-55-mm-f-3-5-5-6g-vr-70-300-f-4-5-6-3g-ed-16-gb-sd-card-bag/p/itmemk3gkkkv95pv?pid=DLLEMK3GD3HHK3AT&lid=LSTDLLEMK3GD3HHK3ATYENKJO&marketplace=FLIPKART&srno=s_3_67&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLEMK3GD3HHK3AT.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,51450,Nikon,D5300,D5300,Body with Dual Lens: AF-P DX NIKKOR 18 - 55 mm f/3.5 - 5.6G VR + AF-P DX NIKKOR 70 - 300 mm f/4.5 - 6.3G ED VR (16 GB SD Card + Camera Bag),DSLR,Black,24.2,"Auto Modes (Auto: Auto (Flash Off)), Programmed Auto with Flexible Program, Shutter-priority Auto, Aperture-priority Auto, Manual, Scene Modes, Special Effects",Yes,Yes,Yes,0°C - 40°C,"ISO 518 Hot-shoe with Sync, Data Contacts and Safety Lock",CMOS,23.5 x 15.6 mm,"100-12,800(Max up to 25,600)","ISO 100 - 12800 in Steps of 1/3 EV, Can also be Set to 0.3, 0.7, or 1 EV (ISO 25600 Equivalent) above ISO 12800","18 - 55 mm, 70 - 300 mm","Single-lens, Interchangeable Lens",Nikon F Mount (with AF Contacts),Yes,Nikkor Lens,Yes,"Lens Aperture: Instant Return, Electronically Controlled, Compatible Lenses (Autofocus is Available with AF-S and AF-I Lenses, Autofocus is not Available with Other Type G and D Lenses, AF Lenses (IX NIKKOR and Lenses for the F3AF are Not Supported) and AI-P Lenses, Non-CPU Lenses can be Used in Mode M)",Yes,Eye-level Pentamirror Single-lens Reflex Viewfinder,"0.82x (50 mm f/1.4 Lens at Infinity, -1.0 m-1)",Diopter Adjustment: -1.7 to +1.0 m-1,18,Viewfinder (Frame Coverage: 95% Horizontal and 95% Vertical),"Detection Range (-1 to +19 EV (ISO 100, 20°C))",Yes,4800DX 39-Point AF Sensor,"Auto, Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual, All Except Preset Manual with Fine-tuning","Portrait, Landscape, Child, Sports, Close up, Night Portrait, Night Landscape, Party/Indoor, Beach/Snow, Sunset, Dusk/Dawn, Pet Portrait, Candlelight, Blossom, Autumn Colors, Food","Autofocus (Nikon Multi-CAM 4800DX Autofocus Sensor Module, AF-assist Illuminator (Range 0.5 - 3 m), 39 Focus Points (Including 9 Cross-type Sensor), AF-area Mode (Single-point AF, 9-, 21- or 39- Point Dynamic-area AF, 3D-tracking, Auto-area AF, Focus Lock (Focus can be Locked by Pressing Shutter-release Button Halfway (Single-servo AF) or by Pressing AE-L/AF-L Button)","Manual, Automatic","1/3 EV Steps +/- 5.0 EV (In P, S, A and M Modes)",3 Shots in Steps of 1/3 or 1/2 EV,"Special Effects Modes (Night Vision, Color Sketch, Toy Camera Effect, Miniature Effect, Selective Color, Silhouette, High Key, Low Key, HDR Painting), Exposure Lock (Luminosity Locked at Detected Value with AE-L/AF-L Button)",1/4000 sec,"Single Frame, Continuous L, Continuous H, Quiet Shutter Release, Self-timer, Delayed Remote, ML-L3, Quick-response Remote, ML-L3, Interval Timer Photography Supported",Yes,5fps shooting,Electronically-controlled Vertical-travel Focal-plane Shutter,X=1/200 sec Synchronizes with Shutter at 1/200 s or Slower,Yes,Yes,"Auto, Auto with Red-eye Reduction, Auto Slow Sync, Auto Slow Sync with Red-eye Reduction, Fill-flash, Red-eye Reduction, Slow Sync, Slow Sync with Red-eye Reduction, Rear-curtain with Slow Sync, Rear-curtain Sync, Off","1/3 EV, 1/2 EV Increments in -3 to 1 EV","Built-in Flash (Auto, Portrait, Child, Close-up, Night Portrait, Party/Indoor, Pet Portrait, Color Sketch, Toy Camera Effect: Auto Flash with Auto Pop-up P, S, A, M, Food: Manual Pop-up with Button Release), Flash-ready Indicator (Lights when Built-in Flash or Optional Flash Unit is Fully Charged), Nikon Creative Lighting System (CLS): Advanced Wireless Lighting Supported with SB-910, SB-900, SB-800 or SB-700 as a Master Flash or SU-800 as Commander, Flash Color Information Communication Supported with All CLS-compatible Flash Units",6000 x 4000 (Large),"NEF (RAW): 12- or 14 bit, Compressed JPEG Baseline Compliant, Compression NEF (RAW)+JPEG",Yes,1920 x 1080,1080p recording at 60p,"MOV, H.264 / MPEG-4 Advanced Video Coding","Video Output (NTSC, PAL)",Built-in Stereo Microphone,"Audio Format: Linear PCM, Audio Recording Device (Built-in or External Stereo Microphone, Sensitivity Adjustable)",TFT LCD,3.2,1036800,No,"Effective Angle of View (Nikon DX Format, Focal Length Equivalent to 1.5x that of Lenses with FX Format Angle of View), Monitor (100% Frame Coverage and Brightness Adjustment), Playback (Full-frame and Thumbnail (4, 12 or 80 Images or Calendar) Playback with Playback Zoom, Movie Playback, Photo and/or Movie Slide Shows, Histogram Display, Highlights, Auto Image Rotation, Picture Rating and Image Comment (Upto 36 Characters), Vari-angle TFT Monitor with 170° Viewing Angle, Image Resolution Display: 1,036,800 dots",SD Card,Yes,Lithium Battery,1,"Picture Control System (Standard, Neutral, Vivid, Monochrome, Portrait, Landscape, Selected Picture Control can be Modified, Storage for Custom Picture Controls), Active D-lighting (Auto, Extra High, High, Normal, Low, Off), Operating Frequency (2412 - 2462 MHz (Channels 1 - 11), Tripod Socket: 1/4 inch (ISO 1222), Humidity: 85% (No Condensation), Connectivity: Accessory Terminal (Wireless Remote Controllers, Remote Cords, GPS Units), Communications Protocols (IEEE 802.11b: DSSS/CCK IEEE 802.11g: OFDM), Data Rate (54 Mbps Maximum Logical Data Rates According to IEEE Standard), Security (Authentication: Open System, WPA2-PSK Encryption: AES), Wireless Setup, Access Protocols, Receiving Frequency: 1575.42 MHz (C/A Code), WGS84 Geodesics, Power Supply: AC Adapter MH-24, Supported Language: 30, SDXC, SDHC Card",125,98,76,530,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm X-H1 Mirrorless Camera Body With vertical power booster grip VPB  (Black),https://www.flipkart.com/fujifilm-x-h1-mirrorless-camera-body-vertical-power-booster-grip-vpb/p/itmffpd7u43ggjwh?pid=DLLFFZZM2JUBWVX5&lid=LSTDLLFFZZM2JUBWVX53P1FN8&marketplace=FLIPKART&srno=s_3_68&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLFFZZM2JUBWVX5.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,100999,Fujifilm,X-H1,X-H1,Body With vertical power booster grip VPB,Balck,Mirrorless,Black,24.3 MP,Yes,Yes,CMOS,23.5mm x 15.6mm,FUJIFILM X mount,Yes,"1/8000 sec, 1/32000 sec",Yes,"JPEG (Exif Ver.2.3), RAW : 14bit RAW(RAF original format), RAW+JPEG",3840 x 2160,"JPEG (Exif Ver.2.3), RAW : 14bit RAW(RAF original format), RAW+JPEG",LCD Monitor,3 cm,Yes,SD Card,Li-ion battery,139.8 mm,97.3 mm,85.5 mm,673 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Lens Type,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Upgradeable Memory,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm X Series X-A5 Mirrorless Camera Body with 15 - 45 mm Lens F3.5 - 5.6 OIS PZ  (Silver, Maroon)",https://www.flipkart.com/fujifilm-x-series-x-a5-mirrorless-camera-body-15-45-mm-lens-f3-5-5-6-ois-pz/p/itm0e27f36206276?pid=DLLFFHNYBHNEJTGQ&lid=LSTDLLFFHNYBHNEJTGQN5WEMU&marketplace=FLIPKART&srno=s_3_69&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLFFHNYBHNEJTGQ.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,34999,Fujifilm,X-A5,X Series,X-A5,Body with 15 - 45 mm Lens F3.5 - 5.6 OIS PZ,Pink Rose,Mirrorless,"Silver, Maroon",24.2 MP,Yes,Yes,CMOS,23.5 x 15.7,"Auto, 200 - 12800",Interchangeable Lens,Fujifilm X Mount,Yes,1/32000 sec,Yes,JPEG,3840 x 2160,4K,TFT LCD,3 inch,Yes,SDXC,256 GB,NP-W126S Li-ion Battery,116.9 mm,67.7 mm,40.4 mm,361 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Lens Type,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Upgradeable Memory,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
